13.0,25.0,18.0,2.0,0.0,72.2,4.0,1.0,1.0,1.0
81.0,257.0,159.0,7.0,0.0,50.9,4.0,2.0,1.0,1.0
13.0,10.0,10.0,0.0,2.0,130.0,4.0,4.0,1.0,1.0
7.0,32.0,15.0,1.0,0.0,46.7,4.0,2.0,1.0,1.0
37.0,125.0,81.0,5.0,0.0,45.7,4.0,2.0,1.0,1.0
21.0,71.0,23.0,2.0,0.0,91.3,4.0,4.0,1.0,1.0
32.0,99.0,53.0,5.0,0.0,60.4,4.0,2.0,1.0,1.0
1.0,8.0,5.0,0.0,0.0,20.0,4.0,4.0,1.0,1.0
10.0,41.0,24.0,2.0,0.0,41.7,4.0,2.0,1.0,1.0
74.0,150.0,118.0,12.0,0.0,62.7,4.0,2.0,1.0,1.0
40.0,72.0,55.0,9.0,0.0,72.7,4.0,2.0,1.0,2.0
10.0,38.0,24.0,2.0,0.0,41.7,4.0,4.0,1.0,2.0
18.0,91.0,62.0,3.0,0.0,29.0,4.0,2.0,1.0,2.0
2.0,28.0,25.0,0.0,0.0,8.0,4.0,4.0,1.0,2.0
177.0,298.0,207.0,29.0,3.0,85.5,4.0,1.0,1.0,2.0
31.0,75.0,64.0,4.0,0.0,48.4,4.0,3.0,1.0,2.0
0.0,5.0,3.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0
136.0,405.0,273.0,18.0,0.0,49.8,4.0,4.0,1.0,2.0
0.0,2.0,1.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0
9.0,18.0,13.0,1.0,0.0,69.2,4.0,4.0,1.0,2.0
97.0,208.0,163.0,12.0,2.0,59.5,4.0,1.0,1.0,2.0
8.0,20.0,11.0,2.0,0.0,72.7,4.0,3.0,1.0,2.0
21.0,120.0,76.0,3.0,0.0,27.6,4.0,1.0,1.0,2.0
20.0,76.0,53.0,2.0,0.0,37.7,4.0,3.0,1.0,2.0
76.0,138.0,114.0,13.0,0.0,66.7,4.0,1.0,1.0,2.0
65.0,153.0,107.0,11.0,0.0,60.7,5.0,3.0,1.0,2.0
8.0,49.0,36.0,0.0,0.0,22.2,4.0,2.0,1.0,2.0
2.0,18.0,14.0,0.0,0.0,14.3,4.0,4.0,1.0,2.0
41.0,78.0,71.0,7.0,0.0,57.7,4.0,2.0,1.0,2.0
16.0,140.0,98.0,2.0,0.0,16.3,4.0,4.0,1.0,2.0
1.0,33.0,21.0,0.0,0.0,4.8,4.0,2.0,1.0,2.0
34.0,77.0,57.0,5.0,0.0,59.6,5.0,4.0,1.0,2.0
7.0,25.0,16.0,1.0,0.0,43.8,4.0,2.0,1.0,2.0
100.0,275.0,179.0,13.0,0.0,55.9,4.0,3.0,1.0,2.0
8.0,14.0,12.0,1.0,0.0,66.7,4.0,1.0,1.0,2.0
8.0,28.0,19.0,2.0,0.0,42.1,4.0,3.0,1.0,2.0
76.0,202.0,155.0,13.0,0.0,49.0,4.0,1.0,1.0,2.0
5.0,17.0,6.0,1.0,0.0,83.3,4.0,3.0,1.0,2.0
179.0,414.0,322.0,24.0,1.0,55.6,4.0,1.0,1.0,4.0
54.0,180.0,138.0,3.0,0.0,39.1,4.0,3.0,1.0,4.0
52.0,98.0,88.0,5.0,0.0,59.1,4.0,1.0,1.0,4.0
2.0,8.0,8.0,0.0,0.0,25.0,4.0,1.0,1.0,4.0
23.0,129.0,93.0,2.0,0.0,24.7,4.0,2.0,1.0,4.0
15.0,38.0,20.0,1.0,1.0,75.0,4.0,1.0,1.0,4.0
148.0,320.0,244.0,20.0,3.0,60.7,5.0,1.0,1.0,4.0
13.0,28.0,16.0,1.0,0.0,81.3,4.0,3.0,1.0,4.0
18.0,61.0,34.0,3.0,0.0,52.9,4.0,1.0,1.0,4.0
126.0,397.0,248.0,14.0,0.0,50.8,4.0,3.0,1.0,4.0
217.0,494.0,344.0,29.0,0.0,63.1,4.0,1.0,1.0,4.0
15.0,16.0,10.0,3.0,0.0,150.0,2.0,3.0,1.0,4.0
201.0,392.0,281.0,27.0,0.0,71.5,4.0,1.0,1.0,4.0
103.0,254.0,197.0,12.0,1.0,52.3,4.0,2.0,1.0,4.0
26.0,87.0,81.0,4.0,0.0,32.1,4.0,4.0,1.0,4.0
90.0,263.0,198.0,13.0,0.0,45.5,4.0,2.0,1.0,4.0
