Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,ha,result
61,162.0,129.0,8.0,0.0,47.28,4.0,caught,2.0,v New Zealand,Nagpur,1,1
7,25.0,18.0,1.0,0.0,38.88,4.0,lbw,2.0,v West Indies,Delhi,1,1
76,200.0,148.0,10.0,0.0,51.35,4.0,lbw,4.0,v West Indies,Delhi,1,1
38,74.0,71.0,5.0,0.0,53.52,4.0,caught,1.0,v West Indies,Kolkata,1,1
19,86.0,62.0,2.0,0.0,30.64,4.0,bowled,1.0,v New Zealand,Hyderabad (Deccan),1,1
17,61.0,50.0,3.0,0.0,34.0,4.0,bowled,2.0,v New Zealand,Bangalore,1,1
27,78.0,34.0,5.0,0.0,79.41,4.0,bowled,4.0,v New Zealand,Bangalore,1,1
13,25.0,18.0,2.0,0.0,72.22,4.0,caught,1.0,v England,Ahmedabad,1,1
81,257.0,159.0,7.0,0.0,50.94,4.0,bowled,2.0,v Australia,Chennai,1,1
13*,10.0,10.0,0.0,2.0,130.0,4.0,not out,4.0,v Australia,Chennai,1,1
7,32.0,15.0,1.0,0.0,46.66,4.0,caught,2.0,v Australia,Hyderabad (Deccan),1,1
37,125.0,81.0,5.0,0.0,45.67,4.0,caught,2.0,v Australia,Mohali,1,1
21,71.0,23.0,2.0,0.0,91.3,4.0,run out,4.0,v Australia,Mohali,1,1
32,99.0,53.0,5.0,0.0,60.37,4.0,lbw,2.0,v Australia,Delhi,1,1
1,8.0,5.0,0.0,0.0,20.0,4.0,lbw,4.0,v Australia,Delhi,1,1
10,41.0,24.0,2.0,0.0,41.66,4.0,lbw,2.0,v West Indies,Kolkata,1,1
74,150.0,118.0,12.0,0.0,62.71,4.0,caught,2.0,v West Indies,Mumbai,1,1
40,72.0,55.0,9.0,0.0,72.72,4.0,caught,2.0,v West Indies,Mohali,1,2
10,38.0,24.0,2.0,0.0,41.66,4.0,caught,4.0,v West Indies,Mohali,1,2
18,91.0,62.0,3.0,0.0,29.03,4.0,bowled,2.0,v South Africa,Kolkata,1,2
2,28.0,25.0,0.0,0.0,8.0,4.0,caught,4.0,v South Africa,Kolkata,1,2
177,298.0,207.0,29.0,3.0,85.5,4.0,bowled,1.0,v Australia,Bangalore,1,2
31,75.0,64.0,4.0,0.0,48.43,4.0,caught,3.0,v Australia,Bangalore,1,2
0,5.0,3.0,0.0,0.0,0.0,4.0,caught,2.0,v Pakistan,Chennai,1,2
136,405.0,273.0,18.0,0.0,49.81,4.0,caught,4.0,v Pakistan,Chennai,1,2
0,2.0,1.0,0.0,0.0,0.0,5.0,bowled,2.0,v Pakistan,Kolkata,1,2
9,18.0,13.0,1.0,0.0,69.23,4.0,run out,4.0,v Pakistan,Kolkata,1,2
97,208.0,163.0,12.0,2.0,59.5,4.0,caught,1.0,v South Africa,Mumbai,1,2
8,20.0,11.0,2.0,0.0,72.72,4.0,lbw,3.0,v South Africa,Mumbai,1,2
21,120.0,76.0,3.0,0.0,27.63,4.0,caught,1.0,v South Africa,Bangalore,1,2
20,76.0,53.0,2.0,0.0,37.73,4.0,caught,3.0,v South Africa,Bangalore,1,2
76,138.0,114.0,13.0,0.0,66.66,4.0,caught,1.0,v Australia,Mumbai,1,2
65,153.0,107.0,11.0,0.0,60.74,5.0,caught,3.0,v Australia,Mumbai,1,2
8,49.0,36.0,0.0,0.0,22.22,4.0,lbw,2.0,v Australia,Nagpur,1,2
2,18.0,14.0,0.0,0.0,14.28,4.0,caught,4.0,v Australia,Nagpur,1,2
41,78.0,71.0,7.0,0.0,57.74,4.0,caught,2.0,v Pakistan,Bangalore,1,2
16,140.0,98.0,2.0,0.0,16.32,4.0,caught,4.0,v Pakistan,Bangalore,1,2
1,33.0,21.0,0.0,0.0,4.76,4.0,caught,2.0,v England,Mumbai,1,2
34,77.0,57.0,5.0,0.0,59.64,5.0,caught,4.0,v England,Mumbai,1,2
7,25.0,16.0,1.0,0.0,43.75,4.0,caught,2.0,v South Africa,Nagpur,1,2
