Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,ha,result
10,41,24,2,0,41.66,4,lbw,2,v West Indies,Kolkata,1,1
74,150,118,12,0,62.71,4,caught,2,v West Indies,Mumbai,1,1
40,72,55,9,0,72.72,4,caught,2,v West Indies,Mohali,1,2
10,38,24,2,0,41.66,4,caught,4,v West Indies,Mohali,1,2
18,91,62,3,0,29.03,4,bowled,2,v South Africa,Kolkata,1,2
2,28,25,0,0,8,4,caught,4,v South Africa,Kolkata,1,2
177,298,207,29,3,85.5,4,bowled,1,v Australia,Bangalore,1,2
31,75,64,4,0,48.43,4,caught,3,v Australia,Bangalore,1,2
0,5,3,0,0,0,4,caught,2,v Pakistan,Chennai,1,2
136,405,273,18,0,49.81,4,caught,4,v Pakistan,Chennai,1,2
0,2,1,0,0,0,5,bowled,2,v Pakistan,Kolkata,1,2
9,18,13,1,0,69.23,4,run out,4,v Pakistan,Kolkata,1,2
97,208,163,12,2,59.5,4,caught,1,v South Africa,Mumbai,1,2
8,20,11,2,0,72.72,4,lbw,3,v South Africa,Mumbai,1,2
21,120,76,3,0,27.63,4,caught,1,v South Africa,Bangalore,1,2
20,76,53,2,0,37.73,4,caught,3,v South Africa,Bangalore,1,2
76,138,114,13,0,66.66,4,caught,1,v Australia,Mumbai,1,2
65,153,107,11,0,60.74,5,caught,3,v Australia,Mumbai,1,2
8,49,36,0,0,22.22,4,lbw,2,v Australia,Nagpur,1,2
2,18,14,0,0,14.28,4,caught,4,v Australia,Nagpur,1,2
41,78,71,7,0,57.74,4,caught,2,v Pakistan,Bangalore,1,2
16,140,98,2,0,16.32,4,caught,4,v Pakistan,Bangalore,1,2
1,33,21,0,0,4.76,4,caught,2,v England,Mumbai,1,2
34,77,57,5,0,59.64,5,caught,4,v England,Mumbai,1,2
7,25,16,1,0,43.75,4,caught,2,v South Africa,Nagpur,1,2
100,275,179,13,0,55.86,4,bowled,3,v South Africa,Nagpur,1,2
8,14,12,1,0,66.66,4,bowled,1,v England,Mumbai,1,2
8,28,19,2,0,42.1,4,lbw,3,v England,Mumbai,1,2
76,202,155,13,0,49.03,4,caught,1,v England,Kolkata,1,2
5,17,6,1,0,83.33,4,caught,3,v England,Kolkata,1,2
179,414,322,24,1,55.59,4,caught,1,v West Indies,Nagpur,1,4
54,180,138,3,0,39.13,4,caught,3,v West Indies,Nagpur,1,4
